invoice_id,Branch,City,category,unit_price,quantity,date,time,payment_method,rating,profit_margin,total,month,hour
1,WALM003,San Antonio,Health and beauty,74.69,7.0,2019-05-01,13:08:00,Ewallet,9.1,0.48,522.8299999999999,5,13
2,WALM048,Harlingen,Electronic accessories,15.28,5.0,2019-08-03,10:29:00,Cash,9.6,0.48,76.39999999999999,8,10
3,WALM067,Haltom City,Home and lifestyle,46.33,7.0,2019-03-03,13:23:00,Credit card,7.4,0.33,324.31,3,13
4,WALM064,Bedford,Health and beauty,58.22,8.0,2019-01-27,20:33:00,Ewallet,8.4,0.33,465.76,1,20
5,WALM013,Irving,Sports and travel,86.31,7.0,2019-08-02,10:37:00,Ewallet,5.3,0.48,604.1700000000001,8,10
6,WALM026,Denton,Electronic accessories,85.39,7.0,2019-03-25,18:30:00,Ewallet,4.1,0.48,597.73,3,18
7,WALM088,Cleburne,Electronic accessories,68.84,6.0,2019-02-25,14:36:00,Ewallet,5.8,0.33,413.04,2,14
8,WALM100,Canyon,Home and lifestyle,73.56,10.0,2019-02-24,11:38:00,Ewallet,8.0,0.18,735.6,2,11
9,WALM066,Grapevine,Health and beauty,36.26,2.0,2019-10-01,17:15:00,Credit card,7.2,0.33,72.52,10,17
10,WALM065,Texas City,Food and beverages,54.84,3.0,2019-02-20,13:27:00,Credit card,5.9,0.33,164.52,2,13
11,WALM013,Irving,Fashion accessories,14.48,4.0,2019-06-02,18:07:00,Ewallet,4.5,0.48,57.92,6,18
12,WALM035,San Angelo,Electronic accessories,25.51,4.0,2019-09-03,17:03:00,Cash,6.8,0.48,102.04,9,17
13,WALM027,Abilene,Electronic accessories,46.95,5.0,2019-12-02,10:25:00,Ewallet,7.1,0.48,234.75,12,10
14,WALM035,San Angelo,Food and beverages,43.19,10.0,2019-07-02,16:48:00,Ewallet,8.2,0.48,431.9,7,16
15,WALM031,Lewisville,Health and beauty,71.38,10.0,2019-03-29,19:21:00,Cash,5.7,0.48,713.8,3,19
16,WALM008,Corpus Christi,Sports and travel,93.72,6.0,2019-01-15,16:19:00,Cash,4.5,0.48,562.3199999999999,1,16
17,WALM029,Round Rock,Health and beauty,68.93,7.0,2019-11-03,11:03:00,Credit card,4.6,0.48,482.51000000000005,11,11
18,WALM061,Cedar Park,Sports and travel,72.61,6.0,2019-01-01,10:39:00,Credit card,6.9,0.33,435.65999999999997,1,10
19,WALM053,Conroe,Food and beverages,54.67,3.0,2019-01-21,18:00:00,Credit card,8.6,0.57,164.01,1,18
20,WALM013,Irving,Home and lifestyle,40.3,2.0,2019-11-03,15:30:00,Ewallet,4.4,0.48,80.6,11,15
21,WALM044,Pharr,Electronic accessories,86.04,5.0,2019-02-25,11:24:00,Ewallet,4.8,0.48,430.20000000000005,2,11
22,WALM088,Cleburne,Health and beauty,87.98,3.0,2019-05-03,10:40:00,Ewallet,5.1,0.33,263.94,5,10
23,WALM083,Farmers Branch,Home and lifestyle,33.2,2.0,2019-03-15,12:20:00,Credit card,4.4,0.33,66.4,3,12
24,WALM067,Haltom City,Electronic accessories,34.56,5.0,2019-02-17,11:15:00,Ewallet,9.9,0.33,172.8,2,11
25,WALM023,Midland,Sports and travel,88.63,3.0,2019-02-03,17:36:00,Ewallet,6.0,0.48,265.89,2,17
26,WALM001,Houston,Home and lifestyle,52.59,8.0,2019-03-22,19:20:00,Credit card,8.5,0.36,420.72,3,19
27,WALM072,Lancaster,Fashion accessories,33.52,1.0,2019-08-02,15:31:00,Cash,6.7,0.33,33.52,8,15
28,WALM046,Temple,Fashion accessories,87.67,2.0,2019-10-03,12:17:00,Credit card,7.7,0.48,175.34,10,12
29,WALM012,Garland,Food and beverages,88.36,5.0,2019-01-25,19:48:00,Cash,9.6,0.48,441.8,1,19
30,WALM075,San Marcos,Health and beauty,24.89,9.0,2019-03-15,15:36:00,Cash,7.4,0.33,224.01,3,15
31,WALM076,Huntsville,Fashion accessories,94.13,5.0,2019-02-25,19:39:00,Credit card,4.8,0.33,470.65,2,19
32,WALM098,Mineral Wells,Sports and travel,78.07,9.0,2019-01-28,12:43:00,Cash,4.5,0.18,702.6299999999999,1,12
33,WALM021,McAllen,Sports and travel,83.78,8.0,2019-10-01,14:49:00,Cash,5.1,0.48,670.24,10,14
34,WALM096,Eagle Pass,Health and beauty,96.58,2.0,2019-03-15,10:12:00,Credit card,5.1,0.18,193.16,3,10
35,WALM022,Mesquite,Food and beverages,99.42,4.0,2019-06-02,10:42:00,Ewallet,7.5,0.48,397.68,6,10
36,WALM095,Big Spring,Sports and travel,68.12,1.0,2019-07-01,12:28:00,Ewallet,6.8,0.33,68.12,7,12
37,WALM041,Mission,Sports and travel,62.62,5.0,2019-10-03,19:15:00,Ewallet,7.0,0.48,313.09999999999997,10,19
38,WALM070,Hurst,Electronic accessories,60.88,9.0,2019-01-15,17:17:00,Ewallet,4.7,0.33,547.9200000000001,1,17
39,WALM070,Hurst,Health and beauty,54.92,8.0,2019-03-23,13:24:00,Ewallet,7.6,0.33,439.36,3,13
40,WALM030,Richardson,Home and lifestyle,30.12,8.0,2019-03-03,13:01:00,Cash,7.7,0.48,240.96,3,13
41,WALM033,Pearland,Home and lifestyle,86.72,1.0,2019-01-17,18:45:00,Ewallet,7.9,0.48,86.72,1,18
42,WALM088,Cleburne,Home and lifestyle,56.11,2.0,2019-02-02,10:11:00,Cash,6.3,0.33,112.22,2,10
43,WALM079,La Porte,Sports and travel,69.12,6.0,2019-08-02,13:03:00,Cash,5.6,0.33,414.72,8,13
44,WALM042,Bryan,Food and beverages,98.7,8.0,2019-04-03,20:39:00,Cash,7.6,0.48,789.6,4,20
45,WALM036,Allen,Health and beauty,15.37,2.0,2019-03-16,19:47:00,Cash,7.2,0.48,30.74,3,19
46,WALM056,Rowlett,Electronic accessories,93.96,4.0,2019-09-03,18:00:00,Cash,9.5,0.33,375.84,9,18
47,WALM058,Port Arthur,Health and beauty,56.69,9.0,2019-02-27,17:24:00,Credit card,8.4,0.33,510.21,2,17
48,WALM015,Grand Prairie,Food and beverages,20.01,9.0,2019-06-02,15:47:00,Ewallet,4.1,0.48,180.09,6,15
49,WALM063,Georgetown,Electronic accessories,18.93,6.0,2019-10-02,12:45:00,Credit card,8.1,0.33,113.58,10,12
50,WALM021,McAllen,Fashion accessories,82.63,10.0,2019-03-19,17:08:00,Ewallet,7.9,0.48,826.3,3,17
51,WALM089,Southlake,Food and beverages,91.4,7.0,2019-03-02,10:19:00,Cash,9.5,0.33,639.8000000000001,3,10
52,WALM093,Angleton,Food and beverages,44.59,5.0,2019-10-02,15:10:00,Cash,8.5,0.33,222.95000000000002,10,15
53,WALM041,Mission,Fashion accessories,17.87,4.0,2019-03-22,14:42:00,Ewallet,6.5,0.48,71.48,3,14
